회사명,제목,링크,지역,연봉정보,마감일,직무분야,카테고리
(주)마루에이치알,"[현대캐피탈/금융기획팀] 데이터분석 및 관리(통계/파이썬,SQL)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49577771&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,서울 중구,금융·보험 스크랩 TOP100,~ 01/11(토),"Python, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화 외                    수정일 24/12/12","['Python', '데이터분석가', '데이터엔지니어', '데이터마이닝', '데이터시각화 외                    수정일 24/12/12']"
(사)한국아이씨티기술협회,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333137&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,서울전체,연봉상승률 30% 이상,~ 12/20(금),"Python, Java, 솔루션, AWS, 빅데이터 외                    수정일 24/12/13","['Python', 'Java', '솔루션', 'AWS', '빅데이터 외                    수정일 24/12/13']"
에이스휴먼파워(주),"[여의도/338만] 한국평가데이터 DB분석 및 컨설팅 (SQL,파이썬)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521011&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,서울 영등포구,인기있는,오늘마감,"Python, Java, 딥러닝, 머신러닝, 빅데이터 외                    등록일 24/12/03","['Python', 'Java', '딥러닝', '머신러닝', '빅데이터 외                    등록일 24/12/03']"
(주)쇼엠,[인천 송도 근무] 파이썬 개발자 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536040&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,인천 연수구,인기있는,채용시,"Python, C++, Java, 솔루션, AWS 외                    수정일 24/12/09","['Python', 'C++', 'Java', '솔루션', 'AWS 외                    수정일 24/12/09']"
(주)데이터앤솔루션,"[경력,신입] 파이썬 개발자 정직원 모집(솔루션본부)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49570740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,서울 서초구,,~ 01/10(금),"Python, 알고리즘, Keras, Pytorch, Tensorflow 외                    수정일 24/12/11","['Python', '알고리즘', 'Keras', 'Pytorch', 'Tensorflow 외                    수정일 24/12/11']"
이다웰(주),파이썬 활용가능 데이터 분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,경기 용인시 기흥구,연봉상승률 15% 이상,~ 12/30(월),"데이터분석가, 소프트웨어개발 등록일 24/11/30","['데이터분석가', '소프트웨어개발 등록일 24/11/30']"
(주)아이이에이,대기업 서비스 스벨트/파이썬 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49570494&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f0b1dfdd-913c-458a-b2aa-06c8b9e6b706,서울 강서구,급성장중,~ 01/10(금),"Python, 웹개발, 백엔드/서버개발, SI개발, Javascript 외                    수정일 24/12/11","['Python', '웹개발', '백엔드/서버개발', 'SI개발', 'Javascript 외                    수정일 24/12/11']"
(주)뉴로다임,파이썬 프로그램 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524064&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 성동구,취업축하금,~ 01/02(목),"Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    등록일 24/12/04","['Python', 'Linux', '웹개발', '백엔드/서버개발', 'SE(시스템엔지니어) 외                    등록일 24/12/04']"
(주)알로카도스,시니어 파이썬 백엔드 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432001&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,취업축하금,~ 12/18(수),"Python, AWS, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/11/19","['Python', 'AWS', '웹개발', '백엔드/서버개발', 'SE(시스템엔지니어) 외                    수정일 24/11/19']"
(주)아이젝스,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496037&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 금천구,연봉상승률 10% 이상,~ 12/31(화),"Python, MacOS, 네트워크, 솔루션업체, 소프트웨어개발 등록일 24/11/29","['Python', 'MacOS', '네트워크', '솔루션업체', '소프트웨어개발 등록일 24/11/29']"
