회사명,제목,링크,지역,연봉정보,마감일,직무분야,카테고리
알디에스(주),알디에스(오뚜기IT자회사) IT (웹)운영개발 사원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540716&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,IT개발·데이터 지원 TOP100,~ 12/22(일),"Python, C++, Java, 웹개발, 백엔드/서버개발 외                    등록일 24/12/06","['Python', 'C++', 'Java', '웹개발', '백엔드/서버개발 외                    등록일 24/12/06']"
(주)원익로보틱스,전 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49561788&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 성남시 분당구,인사·노무·HRD 조회 TOP100,~ 12/31(화),"Python, C++, 솔루션, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/12/12","['Python', 'C++', '솔루션', '백엔드/서버개발', 'SE(시스템엔지니어) 외                    수정일 24/12/12']"
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 부천시,고객상담·TM 지원 TOP100,~ 12/22(일),"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/12/11","['Python', 'C++', 'Java', '딥러닝', '솔루션 외                    수정일 24/12/11']"
(주)나라스페이스테크놀로지,[NARA SPACE] 각 부문별 직원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394069&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 영등포구,상품기획·MD 조회 TOP100,상시채용,"Python, 솔루션, AWS, 빅데이터, 웹개발 외                    수정일 24/11/26","['Python', '솔루션', 'AWS', '빅데이터', '웹개발 외                    수정일 24/11/26']"
(주)티오이십일콤즈,2024년 웹 개발 부문 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49552352&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 구로구,IT개발·데이터 지원 TOP100,~ 02/07(금),"Python, Java, 솔루션, 머신러닝, 웹개발 외                    수정일 24/12/09","['Python', 'Java', '솔루션', '머신러닝', '웹개발 외                    수정일 24/12/09']"
(주)아이센스,㈜아이센스 2024년 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475890&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 서초구,건설·건축 지원 TOP100,~ 12/15(일),"Python, Java, 유지보수, 데이터라벨링, ERP 외                    수정일 24/12/04","['Python', 'Java', '유지보수', '데이터라벨링', 'ERP 외                    수정일 24/12/04']"
(주)NE능률,2024년 12월 NE능률 신입 및 경력(수시) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498664&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 마포구,교육 스크랩 TOP100,~ 12/31(화),"Python, Java, 솔루션, Linux, 백엔드/서버개발 외                    수정일 24/12/01","['Python', 'Java', '솔루션', 'Linux', '백엔드/서버개발 외                    수정일 24/12/01']"
(주)비엔케이시스템,2025년도 상반기 신입직원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519832&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,부산 강서구,IT개발·데이터 지원 TOP100,~ 12/15(일),"Python, C++, Java, 솔루션, AWS 외                    수정일 24/12/03","['Python', 'C++', 'Java', '솔루션', 'AWS 외                    수정일 24/12/03']"
영남이공대학교,영남이공대학교 일반직원 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525634&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,대구 남구,마케팅·홍보·조사 지원 TOP100,~ 12/23(월),"Python, C++, Java, 웹개발, 앱개발 외                    수정일 24/12/09","['Python', 'C++', 'Java', '웹개발', '앱개발 외                    수정일 24/12/09']"
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48494926&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 송파구,금융·보험 지원 TOP100,~ 12/31(화),"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/11/25","['Python', 'C++', 'Java', '딥러닝', '솔루션 외                    수정일 24/11/25']"
롯데손해보험(주),신입사원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568890&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 중구,마케팅·홍보·조사 지원 TOP100,~ 12/19(목),"Python, 머신러닝, 데이터엔지니어, 백엔드/서버개발, 앱개발 외                    수정일 24/12/12","['Python', '머신러닝', '데이터엔지니어', '백엔드/서버개발', '앱개발 외                    수정일 24/12/12']"
